"LATITUDE","LONGITUDE"
63.9775,-155.9317
63.68,-157.8828
61.88,-158.95
64.1861,-153.1003
65.08,-149
63.8839,-153.5122
63.6292,-153.0192
62.83,-153.42
65.4167,-164.5333
66.1164,-154.6486
67.1583,-159.3075
34.81,-114.5422
33.57261,-110.24561
33.50711,-109.93239
38.83875,-122.50264
39.91194,-122.49306
38.50581,-122.111542
40.9636,-120.1142
26.0783,-81.1158
26.1947,-81.0931
26.0067,-81.0553
43.2752,-116.49822
46.2725,-116.0564
46.357856,-116.126217
46.3603,-116.1497
43.9476,-116.37031
46.345,-116.36
43.1175,-116.95946
46.0553,-111.4421
48.544,-113.6161
47.4383,-108.0889
45.03033,-106.1219
45.3911,-103.9214
39.5981,-115.7589
36.7808,-95.8378
36.7136,-96.2458
43.04881,-122.25119
44.9217,-120.9439
44.3178,-118.9292
42.9214,-123.0492
43.9336,-118.5086
42.71,-117.2164
43.3067,-117.2917
44.8297,-121.3767
43.526814,-103.493894
48.33814,-119.00175
48.685,-121.2556
45.7206,-120.3108
48.5258,-119.4631
48.5706,-119.6831
47.9892,-118.2164
47.8136,-120.0389
48.3806,-120.2433
47.6553,-119.5728
47.5028,-119.8436
44.950094,-106.150067
61.2051667,-160.3365
62.45,-141.62
62.31667,-164.44967
60.89389,-160.75833
26.389554,-80.42741
64.0666667,-154.1333333
26.54642958,-80.42331541
62.9680833,-159.3673333
65.7888334,-157.627
63.7521667,-157.9671666
61.30694,-163.2175
61.33694,-162.52333
66.8678,-148.9061
46.715432,-119.640081
63.4183333,-157.6111667
64.5333334,-154.7333333
67.2081,-144.8181
65.1843333,-156.2148333
64.354,-158.045
64.5978,-152.6081
64.6736667,-152.9258334
64.261,-158.094
63.551427,-157.720176
65.9,-147.3167
61.35333,-162.56417
45.978608,-118.995803
29.65104092,-94.19350274
64.342,-158.0266667
61.31867,-159.85467
63.9064,-154.4175
66.35,-149.87
64.7343333,-155.009
65.2667,-156.2167
29.69825112,-93.90849171
